dataset,method,n_chains,n_residues,thr,mcc,f1,rec,pre,spe,auc,ap
DNA_Test_129,CLAPE,129,37515,0.37,0.3929,0.4307,0.4741,0.3945,0.9538,0.8648,0.3942
DNA_Test_129,EquiPNAS,129,37515,0.31,0.5517,0.573,0.704,0.4831,0.9522,0.9428,0.5817
DNA_Test_129,MegSite,129,37515,0.7,0.5362,0.5625,0.6491,0.4962,0.9582,0.9354,0.5517
DNA_Test_129,GraphSite,129,37515,0.16,0.4122,0.4447,0.5629,0.3675,0.9385,0.8909,0.421
DNA_Test_129,ESM-NBR-DNA,129,37515,0.74,0.4599,0.4923,0.5625,0.4377,0.9541,0.8931,0.4835
DNA_Test_129,ESM-DBP,129,37515,0.19,0.4433,0.4773,0.5362,0.4302,0.9549,0.8996,0.4679
DNA_Test_129,PNAbind,129,37515,0.14,0.5116,0.5344,0.6777,0.4412,0.9455,0.9299,0.4971
DNA_Test_129,PNBind,129,37515,0.58,0.586,0.6111,0.6237,0.5991,0.9735,0.9525,0.6361
DNA_Test_181,CLAPE,181,75258,0.36,0.2547,0.2866,0.3716,0.2332,0.9456,0.8134,0.2405
DNA_Test_181,EquiPNAS,181,75258,0.27,0.4129,0.4242,0.6138,0.3241,0.943,0.9209,0.3931
DNA_Test_181,MegSite,181,75258,0.69,0.4371,0.4508,0.6138,0.3563,0.9506,0.9216,0.3971
DNA_Test_181,GraphSite,181,75258,0.16,0.2876,0.3081,0.4829,0.2263,0.9265,0.8585,0.2302
DNA_Test_181,ESM-NBR-DNA,181,75258,0.7,0.3453,0.3712,0.4673,0.3079,0.9532,0.8601,0.3281
DNA_Test_181,ESM-DBP,181,75258,0.12,0.3326,0.3522,0.5131,0.2681,0.9376,0.878,0.329
DNA_Test_181,PNAbind,181,75258,0.1,0.367,0.3541,0.7098,0.2359,0.8976,0.8829,0.2836
DNA_Test_181,PNBind,181,75088,0.55,0.4252,0.4432,0.5766,0.36,0.9543,0.9198,0.4171
RNA_Test_117,CLAPE,117,37345,0.16,0.2262,0.2652,0.4348,0.1908,0.8939,0.7877,0.1796
RNA_Test_117,EquiPNAS,117,37345,0.2,0.3706,0.3831,0.6504,0.2715,0.8996,0.8875,0.3277
RNA_Test_117,MegSite,117,37345,0.74,0.3654,0.395,0.5372,0.3123,0.932,0.8738,0.3415
RNA_Test_117,ESM-NBR-RNA,117,37345,0.05,0.222,0.2643,0.4018,0.1969,0.9058,0.7985,0.185
RNA_Test_117,PNAbind,117,37345,0.07,0.3483,0.3678,0.6012,0.2649,0.9041,0.8583,0.2927
RNA_Test_117,PNBind,117,37345,0.4,0.3512,0.3696,0.6081,0.2655,0.9033,0.8759,0.2997
RNA_Test_285,CLAPE,285,45317,0.28,0.2875,0.3604,0.4243,0.3132,0.9042,0.7833,0.3171
RNA_Test_285,EquiPNAS,285,45317,0.13,0.3365,0.4024,0.5217,0.3275,0.8897,0.8041,0.3579
RNA_Test_285,MegSite,285,45317,0.64,0.3451,0.4058,0.5863,0.3103,0.8658,0.8291,0.3368
RNA_Test_285,ESM-NBR-RNA,285,45317,0.5,0.3265,0.3943,0.5002,0.3254,0.8932,0.8171,0.3366
RNA_Test_285,PNAbind,212,28214,0.24,0.3449,0.4206,0.4795,0.3747,0.9042,0.7965,0.3584
RNA_Test_285,PNBind,285,45317,0.34,0.4161,0.4722,0.4894,0.4562,0.94,0.8679,0.4438
